time_new,AnkleAngle(deg),moment_newnew
0.73815984,-1.88046531,0
0.73943594,-1.82562274,0
0.74,-1.79980798,0
0.74003644,-1.79847273,0
0.74007289,-1.79713637,0
0.7402551,-1.79043791,0
0.74116617,-1.75652125,0
0.74276914,-1.68161209,0
0.74437212,-1.60370656,0
0.745,-1.5624458,0
0.74501655,-1.56163532,0
0.7450331,-1.56082455,0
0.74511584,-1.55676647,0
0.74552954,-1.53636847,0
0.74714692,-1.45289183,0
0.74853964,-1.37889798,0
0.74993236,-1.30307804,0
0.75,-1.29772927,0
0.75005112,-1.29506537,0
0.75010225,-1.2923992,0
0.75035787,-1.27903383,0
0.75163599,-1.21132146,0
0.7530005,-1.13245694,0
0.75436501,-1.05190676,0
0.755,-1.00845684,0
0.75505895,-1.00516463,0
0.75511791,-1.00186981,0
0.75541268,-0.98535624,0
0.75688652,-0.90178377,0
0.75836037,-0.81661054,0
0.75983422,-0.73008249,0
0.76,-0.69758855,0
0.76004943,-0.69450613,0
0.76009887,-0.69142205,0
0.76034603,-0.67597643,0
0.76158185,-0.59809835,0
0.76293113,-0.50938943,0
0.76428042,-0.41957558,0
0.765,-0.36883859,0
0.76506043,-0.3649707,0
0.76512087,-0.3611009,0
0.76542303,-0.34172298,0
0.76693384,-0.24408355,0
0.76825969,-0.14529614,0
0.76958554,-0.04566535,0
0.77,-0.02586145,0
0.77002634,-0.02393681,0
0.77005267,-0.02201186,0
0.77018435,-0.01238225,0
0.77084275,0.03589222,0
0.77247328,0.15076383,0
0.77456625,0.29048495,0
0.775,0.32745264,0
0.77502444,0.32925243,0
0.77504887,0.33105239,0
0.77517105,0.34005472,0
0.77578194,0.38513449,0
0.77741795,0.50263582,0
0.77989356,0.67231588,0
0.78,0.68718157,0
0.78003025,0.68945394,0
0.7800605,0.69172641,0
0.78021174,0.70309043,0
0.78096795,0.75996174,0
0.78263112,0.88051152,0
0.78429428,1.00109439,0
0.785,1.04945617,0
0.7850534,1.05306007,0
0.7851068,1.05666387,0
0.78537381,1.07468181,0
0.78670885,1.16477443,0
0.78808342,1.26421296,0
0.78945799,1.36332528,0
0.79,1.41066246,0
0.79001474,1.41169417,0
0.79002949,1.41272585,0
0.79010321,1.41788365,0
0.79047182,1.44365934,0
0.79214023,1.56300405,0
0.79356984,1.66506411,0
0.79382065,1.68290149,0
0.79404062,1.69854515,0
0.79414426,1.70565873,0
0.79422411,1.71121697,0
0.79424259,1.71383131,0
0.79424862,1.7143296,0
0.79425465,1.71482788,0
0.7942848,1.71731908,0
0.79443553,1.72977073,0
0.795,1.76736725,0
0.79501601,1.76845958,0
0.79503203,1.76955186,0
0.79511209,1.77501263,0
0.79551243,1.80230215,0
0.79651286,1.87234402,0
0.79751329,1.94231878,0
0.79880791,2.03316607,0
0.8,2.1197717,0
0.80003383,2.12179044,-0.002866781
0.80006766,2.12380926,-0.00573348
0.80023682,2.13390424,-0.020065754
0.80108261,2.18437378,-0.091696563
0.8025888,2.28831642,-0.219131154
0.80409498,2.41084435,-0.346404217
0.805,2.46539052,-0.422800485
0.80503781,2.46736947,-0.425176114
0.80507562,2.46934709,-0.427551667
0.80526468,2.47921551,-0.439428293
0.80620997,2.52808888,-0.49878298
0.80743572,2.60347359,-0.575700341
0.8089302,2.67741463,-0.669389362
0.81,2.75021293,-0.736389664
0.81002054,2.78307543,-0.738499629
0.81004108,2.78429204,-0.740609561
0.81014378,2.78550854,-0.751158722
0.8106573,2.79158946,-0.803892096
0.81170264,2.82195645,-0.911176257
0.81238337,2.88538411,-0.980993615
0.8130641,2.92705004,-1.050774576
0.81374483,2.968569,-1.12051914
0.81433305,3.00989645,-1.180755572
0.81492126,3.04541378,-1.240964832
0.815,3.08076305,-1.249022709
0.81502333,3.08741298,-1.25206896
0.81504665,3.08879437,-1.255115161
0.81516329,3.09017552,-1.270345329
0.81574648,3.09707757,-1.346475741
0.81632966,3.13149376,-1.422572101
0.81691284,3.16574834,-1.498634408
0.81749603,3.19983001,-1.574662652
0.81839154,3.23371615,-1.691341949
0.81928705,3.28584968,-1.807959853
0.82,3.33734074,-1.900797195
0.82003696,3.37930826,-1.906678461
0.82007392,3.38131487,-1.912559581
0.82025873,3.38332054,-1.941962984
0.82106531,3.39333497,-2.070248022
0.82187188,3.4385559,-2.198463508
0.82312874,3.4832967,-2.398117728
0.82438559,3.55175266,-2.597603053
0.825,3.61883128,-2.695059193
0.82505396,3.65222131,-2.705482901
0.82510792,3.65483989,-2.715906231
0.82537772,3.65745669,-2.768017196
0.82672671,3.670514,-3.028429965
0.82807571,3.73514183,-3.288605943
0.82942471,3.80291087,-3.548545141
0.83,3.86919412,-3.65932702
0.83003655,3.90537089,-3.667486005
0.8300731,3.90693087,-3.675644787
0.83025584,3.90849011,-3.71643569
0.83116955,3.9162752,-3.920314686
0.83226773,3.95492611,-4.165326462
0.83372914,4.0051756,-4.49129533
0.835,4.07042106,-4.774542357
0.83507405,4.13401872,-4.792466371
0.8351481,4.13907273,-4.810389638
0.83551834,4.14208709,-4.899994795
0.83714674,4.1450982,-5.293871359
0.83854627,4.16010571,-5.632098923
0.83994579,4.23153682,-5.970059902
0.84,4.29088159,-5.983144719
0.84006196,4.34869515,-5.998346492
0.84012392,4.35387945,-6.013547735
0.84043373,4.35617918,-6.089545963
0.84198277,4.35847667,-6.469337957
0.8433535,4.36993114,-6.805135066
0.84472422,4.42642474,-7.140845927
0.845,4.48160847,-7.208431066
0.8452035,4.53530311,-7.256488907
0.84540699,4.55054869,-7.304542316
0.84642447,4.56165056,-7.54474261
0.84779303,4.57269207,-7.867649257
0.84916159,4.62706685,-8.190354765
0.85,4.68001508,-8.387951244
0.85015386,4.72971473,-8.421974888
0.85030772,4.73551474,-8.455996145
0.85107702,4.74129561,-8.626066622
0.85261514,4.76993252,-8.965919118
0.85415325,4.82047328,-9.305533073
0.855,4.86951158,-9.492394018
0.85544394,4.89246143,-9.584759989
0.85588789,4.90633643,-9.677107186
0.85749138,4.92009235,-10.01079308
0.85969392,4.96809007,-10.46944778
0.86,5.02908302,-10.53315736
0.8604498,5.03988136,-10.6247233
0.86089961,5.06797164,-10.71627431
0.86253073,5.09556904,-11.04814082
0.86470496,5.13247902,-11.49020259
0.865,5.16831033,-11.55016227
0.86531996,5.17341199,-11.61689241
0.86563992,5.18297929,-11.68361482
0.86723971,5.19248297,-12.01711088
0.86866442,5.23329786,-12.31394533
0.87,5.28923942,-12.59229357
0.87022437,5.2948043,-12.64237945
0.87044874,5.30550131,-12.69246204
0.87157058,5.31612231,-12.94282567
0.87294889,5.35387298,-13.25031113
0.87432719,5.39053654,-13.55767248
0.875,5.4059418,-13.70766252
0.8752722,5.4185188,-13.77384459
0.8755444,5.43100107,-13.84002138
0.8769054,5.46209746,-14.17082619
0.87831994,5.49248115,-14.51450495
0.87973447,5.50877241,-14.85804121
0.88,5.52068657,-14.92251113
0.88024835,5.53253348,-14.98834161
0.8804967,5.56198905,-15.05416731
0.88173845,5.59090566,-15.38322388
0.88317312,5.60533097,-15.76356327
0.8846078,5.62158394,-16.14386049
0.885,5.6377561,-16.24779877
0.88546661,5.66484207,-16.38094024
0.88593322,5.69155865,-16.51406575
0.88770638,5.69755603,-17.01980498
0.88947953,5.70979687,-17.52531384
0.89,5.72201555,-17.67365182
0.89046582,5.74920899,-17.8135128
0.89093164,5.7761842,-17.95335702
0.89272666,5.78716263,-18.49208417
0.89452167,5.80440658,-19.03056267
0.895,5.82166327,-19.17403382
0.89573707,5.84904401,-19.40060839
0.89647415,5.87564843,-19.62714123
0.89798577,5.88452083,-20.09159527
0.89949739,5.89340232,-20.55587388
0.9,5.92535906,-20.71020486
0.9003922,5.95736509,-20.82999809
0.9007844,5.96421723,-20.94977958
0.90258771,5.97522241,-21.50037612
0.904866,5.98625332,-22.19563939
0.905,6.01409796,-22.23651876
0.90540617,6.04205695,-22.35620937
0.90581233,6.05369022,-22.47588784
0.90760301,6.06082956,-23.00332603
0.90971163,6.06798121,-23.62382569
0.91,6.10074585,-23.70865625
0.910283,6.14132026,-23.774103
0.910566,6.14499746,-23.83954484
0.911981,6.14810201,-24.16668028
0.91351471,6.15121002,-24.52112192
0.915,6.16684316,-24.86423708
0.91520577,6.19404673,-24.88591589
0.91541155,6.22170345,-24.90759346
0.91644041,6.24018535,-25.01596334
0.91791935,6.24321047,-25.17168726
0.91939829,6.24623461,-25.32734893
0.92,6.26136073,-25.3906575
0.92009372,6.29019243,-25.39479678
0.92018744,6.31906336,-25.39893595
0.92065604,6.33706085,-25.41963013
0.92240137,6.33857734,-25.49668306
0.925,6.34009343,-25.61133569
0.92516184,6.34767139,-25.6214931
0.92532368,6.38573539,-25.63165004
0.92613289,6.43336522,-25.68242781
0.92766248,6.434114,-25.77837762
0.92919207,6.43742904,-25.87428624
0.93,6.44074271,-25.92492854
0.9300362,6.45730103,-25.92693499
0.93007239,6.48677713,-25.92894145
0.93025338,6.51609954,-25.93897333
0.9311583,6.53072489,-25.98912513
0.93261109,6.53269087,-26.06960692
0.93406388,6.53465671,-26.14997253
0.935,6.54448635,-26.20173919
0.93512831,6.58091163,-26.20968401
0.93525663,6.61727166,-26.2176285
0.9358982,6.6265616,-26.25734666
0.93775009,6.62777339,-26.37195177
0.93960198,6.62898516,-26.486496
0.94,6.63504257,-26.5111063
0.94005692,6.66518228,-26.51886815
0.94011385,6.69484298,-26.52662984
0.94039847,6.72035727,-26.56543657
0.94182159,6.7228154,-26.75942401
0.94338794,6.72527431,-26.97284815
0.9449543,6.73757236,-27.1861791
0.945,6.77241466,-27.19240208
0.94513806,6.80687711,-27.22334026
0.94527611,6.81172687,-27.25429491
0.94596639,6.81319452,-27.4090511
0.94788055,6.81466273,-27.83804808
0.94979471,6.82200987,-28.2668278
0.95,6.85709445,-28.31279955
0.9500836,6.90176717,-28.33781835
0.95016721,6.90454252,-28.36283656
0.95058522,6.90731829,-28.48791949
0.95243947,6.92118459,-29.04260645
0.95498732,6.95083635,-29.80433231
0.955,6.97991007,-29.80812301
0.95508941,6.98920042,-29.83565825
0.95517882,6.98976102,-29.86319283
0.95562587,6.99032168,-30.000856
0.95757716,6.99312624,-30.60153433
0.95952844,7.00708752,-31.20207668
0.96,7.0212532,-31.34716591
0.96005959,7.05149811,-31.36084505
0.96011918,7.07772473,-31.37452398
0.96041712,7.07883605,-31.44291549
0.96190681,7.07994662,-31.78479391
0.96357129,7.08548741,-32.16662596
0.965,7.11281266,-32.49424309
0.96507576,7.14310442,-32.51105994
0.96515151,7.16366192,-32.5278765
0.96553029,7.16669544,-32.61195424
0.96742416,7.16972082,-33.03221901
0.96971925,7.18472973,-33.54123905
0.97,7.21192609,-33.60348375
0.97011842,7.23846636,-33.62985854
0.97023684,7.2426085,-33.65623252
0.97082894,7.24517141,-33.78841474
0.97300792,7.24773095,-34.27491366
0.975,7.26048386,-34.71947856
0.97521062,7.28712104,-34.77319056
0.97542123,7.31332415,-34.8269001
0.97647432,7.31756604,-35.09541031
0.97820386,7.32029374,-35.53626531
0.9799334,7.32301586,-35.97695232
0.98,7.33654219,-35.99391904
0.9802939,7.36133109,-36.08034016
0.98058781,7.38547792,-36.16675564
0.98205732,7.38844692,-36.59874942
0.98411914,7.39252496,-37.20519915
0.985,7.39658884,-37.46439222
0.98529671,7.41674079,-37.55550041
0.98559343,7.44073038,-37.64660333
0.98707699,7.45505943,-38.10203955
0.98887129,7.45859762,-38.65269176
0.99,7.4621244,-38.99898538
0.99027539,7.47963272,-39.07220584
0.99055077,7.5000666,-39.14542243
0.99192771,7.51814674,-39.5114465
0.99356214,7.52078979,-39.94579368
0.995,7.5234256,-40.32778792
0.99522291,7.53653372,-40.37532288
0.99544582,7.55474607,-40.42285578
0.99656039,7.57270314,-40.66093786
0.99807616,7.5780874,-40.98470263
0.99959194,7.58176922,-41.30838251
1,7.58543857,-41.3955055
1.00035497,7.6037113,-41.46534836
1.00070993,7.62217735,-41.53518696
1.00244436,7.63551266,-41.87636811
1.00480069,7.63825423,-42.33972052
1.005,7.64098884,-42.37890526
1.00526811,7.65461645,-42.42179976
1.00553622,7.67024473,-42.46469227
1.00687677,7.68570475,-42.67912476
1.00829078,7.69085883,-42.90529333
1.0097048,7.69379489,-43.13173424
1.01,7.69672699,-43.17900167
1.01025106,7.71140786,-43.21458783
1.01050213,7.72657427,-43.2501725
1.01175745,7.74166487,-43.42807425
1.01314374,7.74514389,-43.62449597
1.01453004,7.74692421,-43.82087349
1.015,7.74870433,-43.88743633
1.01518477,7.75762306,-43.90912727
1.01536953,7.77382483,-43.9308176
1.01629337,7.79014025,-44.03925928
1.01771336,7.79979227,-44.20590895
1.01913336,7.80142809,-44.37252
1.02,7.8030646,-44.47418624
1.02022266,7.81126092,-44.49541699
1.02044532,7.82995464,-44.51664698
