Time,AnkleAngle(deg),ActuatorMoment
0.74551585,-1.53636847,-0
0.74712904,-1.45289183,-0
0.74851621,-1.37889798,-0
0.74990339,-1.30307804,-0
0.75,-1.29772927,-0
0.75004806,-1.29506537,-0
0.75009611,-1.2923992,-0
0.75033639,-1.27903383,-0
0.75153776,-1.21132146,-0
0.75290545,-1.13245694,-0
0.75427313,-1.05190676,-0
0.755,-1.00845684,-0
0.75505477,-1.00516463,-0
0.75510954,-1.00186981,-0
0.75538338,-0.98535624,-0
0.75675258,-0.90178377,-0
0.75812178,-0.81661054,-0
0.75949098,-0.73008249,-0
0.76,-0.69758855,-0
0.76004814,-0.69450613,-0
0.76009628,-0.69142205,-0
0.76033697,-0.67597643,-0
0.76154041,-0.59809835,-0
0.76289175,-0.50938943,-0
0.76424309,-0.41957558,-0
0.765,-0.36883859,-0
0.76505751,-0.3649707,-0
0.76511501,-0.3611009,-0
0.76540255,-0.34172298,-0
0.76684022,-0.24408355,-0
0.76827789,-0.14529614,-0
0.76971557,-0.04566535,-0
0.77,-0.02586145,-0
0.77002762,-0.02393681,-0
0.77005523,-0.02201186,-0
0.77019332,-0.01238225,-0
0.77088374,0.03589222,-0
0.77251436,0.15076383,-0
0.77448152,0.29048495,-0
0.775,0.32745264,-0
0.77502522,0.32925243,-0
0.77505044,0.33105239,-0
0.77517653,0.34005472,-0
0.775807,0.38513449,-0
0.77744255,0.50263582,-0
0.77979418,0.67231588,-0
0.78,0.68718157,-0
0.78003146,0.68945394,-0
0.78006291,0.69172641,-0
0.78022019,0.70309043,-0
0.7810066,0.75996174,-0
0.78266937,0.88051152,-0
0.78433214,1.00109439,-0
0.785,1.04945617,-0
0.78504978,1.05306007,-0
0.78509957,1.05666387,-0
0.78534848,1.07468181,-0
0.78659306,1.16477443,-0
0.78796726,1.26421296,-0
0.78934147,1.36332528,-0
0.79,1.41066246,-0
0.79001437,1.41169417,-0
0.79002873,1.41272585,-0
0.79010057,1.41788365,-0
0.79045973,1.44365934,-0
0.79212596,1.56300405,-0
0.79355688,1.66506411,-0
0.79380787,1.68290149,-0
0.79402824,1.69854515,-0
0.79412853,1.70565873,-0
0.79420692,1.71121697,-0
0.7942438,1.71383131,-0
0.79425083,1.7143296,-0
0.79425786,1.71482788,-0
0.79429301,1.71731908,-0
0.79446876,1.72977073,-0
0.795,1.76736725,-0
0.79501545,1.76845958,-0
0.79503089,1.76955186,-0
0.79510812,1.77501263,-0
0.79549428,1.80230215,-0
0.7964865,1.87234402,-0
0.79747871,1.94231878,-0
0.79876874,2.03316607,-0
0.8,2.1197717,-0
0.80002869,2.12179044,-0.00309839675245907
0.80005738,2.12380926,-0.00619670872383256
0.80020084,2.13390424,-0.0216869967609887
0.80091813,2.18437378,-0.0991066422961827
0.802402,2.28831642,-0.259099233810706
0.8041858,2.41084435,-0.451130050255005
0.805,2.46539052,-0.538671964268775
0.80502982,2.46736947,-0.539903010945041
0.80505963,2.46934709,-0.541134024893702
0.80520871,2.47921551,-0.547288556353094
0.8059541,2.52808888,-0.578047976218237
0.80712517,2.60347359,-0.626329407000587
0.80829624,2.67741463,-0.674581695625575
0.80946732,2.75021293,-0.722783227611247
0.81,2.78307543,-0.744691842743015
